n.ord;bacino;zonaAllerta;provincia;comune;localita;nomeStazione;lat;lon;quota;tipoStazione;P;T;Idro;codStaz;codIdro
87;Foro;Abru-C;CH;Pretoro;;Pretoro;42.221974;14.142312;470;TP;21615;21616;;343000;1230
88;Aterno-Pescara;Abru-D1;AQ;Rivisondoli;Pratello;Rivisondoli, Pratello;41.863305;14.040880;1242;TP;39699;39700;;548800;1170
89;Aterno-Pescara;Abru-B;AQ;Rocca di Mezzo;;Rocca di Mezzo;42.199956;13.520477;1287;TP;21619;21620;;345000;630
90;Aterno-Pescara;Abru-B;AQ;Rocca Pia;;Rocca Pia;41.933336;13.976312;1077;TP;21293;21294;;316200;770
91;Litoranea tra Feltrino e Sangro;Abru-C;CH;Rocca San Giovanni;Contrada Vallevò;Rocca San Giovanni, C.da Vallevò;42.286660;14.475000;79;TP;45868;45869;;639200;1345
92;Tordino;Abru-A;TE;Rocca Santa Maria;Imposta;Rocca Santa Maria, Imposta;42.688217;13.525813;1093;TP;21295;21296;;316300;55
93;Aterno-Pescara;Abru-B;AQ;Roccacasale;;Roccacasale;42.122245;13.885718;379;TP;21345;21346;;316400;820
94;Sangro;Abru-D1;AQ;Roccaraso;Ist. Alberghiero;Roccaraso;41.851903;14.083485;1231;TP;19139;19140;;57100;1430
95;Sangro;Abru-D1;CH;Rosello;;Rosello;41.899193;14.347464;930;TP;21297;21298;;316500;1510
96;Litoranea tra Tordino e Vomano;Abru-A;TE;Roseto degli Abruzzi;Solagna;Roseto degli Abruzzi;42.694516;13.983953;94;TP;21299;21300;;316600;150
97;Aterno-Pescara;Abru-C;PE;Salle;;Salle;42.174722;13.954722;480;TP;53437;53436;;456800;990
98;Liri;Abru-E;AQ;San Vincenzo Valle Roveto;Roccavivi;San Vincenzo Valle Roveto, Roccavivi;41.819278;13.531195;451;TP;38385;38386;;496700;2590
99;Feltrino;Abru-C;CH;San Vito Chietino;Colle Capuano;San Vito Chietino, Colle Capuano;42.282413;14.436719;149;TP;35134;35135;;189200;1335
100;Aterno-Pescara;Abru-C;PE;Sant'Eufemia a Maiella;Orto Botanico;Sant'Eufemia a Maiella;42.120557;14.025807;888;TP;21305;21306;;317000;970
101;Aterno-Pescara;Abru-B;AQ;Scanno;Passo Godi;Scanno, Passo Godi;41.837028;13.929499;1560;TP;19183;19184;;57300;690
102;Sinello;Abru-D2;CH;Scerni;Fontenuova;Scerni, Fontenuova;42.118572;14.630076;125;TP;39717;39718;;549100;1700
103;Aterno-Pescara;Abru-B;AQ;Scoppito;;Scoppito;42.372314;13.254985;780;TP;21313;21314;;317400;530
104;Aterno-Pescara;Abru-C;PE;Spoltore;;Spoltore;42.456173;14.150492;108;TP;21321;21322;;317800;1140
105;Aterno-Pescara;Abru-B;AQ;Sulmona;Asilo Comunale;Sulmona;42.068707;13.914361;372;TP;15846;15847;;198200;810
106;Marsica;Abru-E;AQ;Tagliacozzo;"Roccacerro; Valico di Monte Bove";Tagliacozzo, Roccacerro;42.070761;13.201608;1203;TP;39753;39754;;549800;2520
107;Marsica;Abru-E;AQ;Tagliacozzo;;Tagliacozzo;42.067882;13.265404;728;TP;39677;39678;;549700;2510
108;Marsica;Abru-E;AQ;Tagliacozzo;Villa S. Sebastiano;Tagliacozzo, Villa S. Sebastiano;42.032506;13.305125;722;TP;39727;39728;;549300;2540
109;Tordino;Abru-A;TE;Teramo;Vivaio Acquaviva;Teramo;42.654788;13.717298;218;TP;15849;15850;;197300;100
110;Vomano;Abru-A;TE;Teramo;Ponte Vomano;Teramo, Ponte Vomano;42.608864;13.768573;132;TP;21613;21614;;342000;310
111;Litoranea tra Sangro e Sinello;Abru-D2;CH;Torino di Sangro;Borgata Marina;Torino di Sangro;42.233430;14.544037;5;TP;21349;21350;;317900;1660
112;Aterno-Pescara;Abru-B;AQ;Tornimparte;Villagrande;Tornimparte, Villagrande;42.288593;13.301585;873;TP;21323;21324;;318000;520
113;Trigno;Abru-D1;CH;Torrebruna;;Torrebruna;41.868531;14.540729;853;TP;21325;21326;;318100;1860
114;Tordino;Abru-A;TE;Torricella Sicura;Santo Stefano;Torricella Sicura, Santo Stefano;42.647417;13.602807;820;TP;15843;15844;;197600;80
115;Vomano;Abru-A;TE;Tossicia;Azzinano;Tossicia, Azzinano;42.556413;13.632027;592;TP;48513;48512;;650400;275
116;Litoranea tra Sinello e Trigno;Abru-D2;CH;Vasto;Sant'Antonio;Vasto;42.099861;14.698392;196;TP;19739;19740;;263200;1740
117;Aterno-Pescara;Abru-C;PE;Villa Celiera;C.da Pietra Rossa;Villa Celiera;42.384503;13.870040;637;TP;21335;21336;;318600;1100
118;Aterno-Pescara;Abru-B;AQ;Villa Santa Lucia;Impianti Sportivi;Villa Santa Lucia;42.333488;13.779444;895;TP;19134;19135;;263600;870
119;Aterno-Pescara;Abru-B;AQ;Villalago;;Villalago;41.937089;13.840990;891;TP;21353;21354;;318900;720
120;Vibrata;Abru-A;TE;Alba Adriatica;Ponte sul T. Vibrata;Vibrata ad Alba Adriatica;42.835963999999997;13.919098;5.10;IDRO;;;14193;183800;5010
121;Salinello;Abru-A;TE;Sant'Omero;Garrufo;Salinello a Sant'Omero;42.795875;13.758581;144.50;IDRO;57580;57583;48604;649500;5105
122;Salinello;Abru-A;TE;Tortoreto;Cavatassi;Salinello a  Cavatassi;42.784011;13.905915999999999;17.90;IDRO;;;14713;188600;5120
123;Tordino;Abru-A;TE;Teramo;Ponte sul F. Tordino;Tordino a Teramo;42.654102999999999;13.714729;216.40;IDRO;;;15131;197500;5210
124;Tordino;Abru-A;TE;Notaresco;S.S.553 km0+950 Cordesco;Tordino a Cordesco;42.69802;13.875404;65.50;IDRO;57441;57438;14198;189800;5230
125;Vomano;Abru-A;TE;Fano Adriano;Bivio per Pietracamela;Rio Arno a Ponte Rio Arno;42.554189000000001;13.54809;406.85;IDRO;;;43192;628000;5360
126;Vomano;Abru-A;TE;Montorio al Vomano;;Vomano a Montorio;42.581524;13.638380;232.40;IDRO;57577;57576;48602;649600;5370
127;Vomano;Abru-A;TE;Basciano;Zampitti Salara;Vomano a Basciano;42.612341999999998;13.715139000000001;158.40;IDRO;;;19827;264500;5408
128;Vomano;Abru-A;TE;Atri;Fontanelle;Vomano a Fontanelle di Atri;42.62424;13.921196999999999;42.40;IDRO;57426;57423;14163;58500;5440
129;Piomba;Abru-A;TE;Silvi;Contrada Piomba;Piomba a Silvi;42.528052000000002;14.128353000000001;6.80;IDRO;53439;53438;14218;188700;5590
130;Saline - Tavo;Abru-C;PE;Loreto Aprutino;S. Pellegrino;Tavo a Loreto Aprutino;42.421572;13.935911;180.60;IDRO;;;48531;649700;5639
131;Saline - Fino;Abru-C;PE;Picciano;Piccianello;Fino a Picciano;42.490860;13.990354;76.30;IDRO;;;48528;649800;5675
132;Saline;Abru-C;PE;Montesilvano;Villa Carmine;Saline a Villa Carmine;42.502229;14.119937;2.10;IDRO;;;14229;57600;5678
133;Aterno-Pescara;Abru-B;AQ;Cagnano Amiterno;San Pelino;Aterno a Tre Ponti;42.476469999999999;13.258024000000001;757.20;IDRO;;;43193;628200;5710
134;Aterno-Pescara;Abru-B;AQ;L'Aquila;Passerella F. Aterno;Aterno a L'Aquila;42.350568000000003;13.380601;614.10;IDRO;;;15139;183200;5730
135;Aterno-Pescara;Abru-B;AQ;Fagnano Alto;Campana;Aterno a Fagnano;42.248060;13.567311;552.20;IDRO;53565;53566;46809;647300;5750
136;Aterno-Pescara;Abru-B;AQ;Molina Aterno;Argine F. Aterno;Aterno a Molina;42.137213000000003;13.752998;435.00;IDRO;;;15137;183100;5770
137;Aterno-Pescara;Abru-B;AQ;Scanno;Lago;Tasso a Scanno;41.917619999999999;13.871839;925.80;IDRO;53569;53570;43194;628300;5800
138;Aterno-Pescara;Abru-B;AQ;Corfinio;Capocanale;Sagittario a Capo Canale;42.123199999999997;13.866270999999999;269.20;IDRO;;;15133;197000;5870
139;Aterno-Pescara;Abru-C;PE;Popoli;Zona Ind.le;Aterno Sagittario ad allogg. idr.;42.156274000000003;13.829750000000001;247.50;IDRO;53432;53430;22237;183900;5900
140;Aterno-Pescara;Abru-C;PE;Popoli;Maraone;Pescara a Maraone;42.179957999999999;13.838597;240.20;IDRO;;;15135;196900;5920
141;Aterno-Pescara;Abru-C;PE;Bussi sul Tirino;Ponte sul F. Tirino;Tirino a Madonnina;42.21414;13.822336;313.10;IDRO;53435;53433;19120;184200;5940
142;Orfento;Abru-C;PE;Caramanico Terme;Vivaio Forestale;Orfento a Caramanico;42.162281999999998;14.000707999999999;455.60;IDRO;;;39786;522700;5984
143;Orte;Abru-C;PE;Bolognano;Borgata S. Antonio;Orte a Musellaro;42.193775000000002;13.960137;298.50;IDRO;;;34040;458500;5988
144;Aterno-Pescara;Abru-C;PE;Alanno;Contrada S.Emidio;Pescara a Alanno;42.270854;14.013034;80.50;IDRO;53571;53572;46810;647400;6030
145;Aterno-Pescara;Abru-C;PE;Cepagatti;Villareia;Pescara a Villareia;42.342006;14.119492;32.60;IDRO;;;45214;634400;6090
146;Aterno-Pescara;Abru-C;PE;Spoltore;Santa Teresa;Pescara a Santa Teresa;42.423706000000003;14.162751999999999;4.50;IDRO;16999;17000;14165;58200;6140
147;Aterno-Pescara;Abru-C;PE;Spoltore;Santa Teresa;"Pescara a Santa Teresa; Valle Diga";42.426005;14.166647;4.30;IDRO;;;45217;634500;6145
148;Alento;Abru-C;CH;Ripa Teatina;C.da Alento;Alento a Ripa Teatina;42.370382;14.234198;34.30;IDRO;;;48534;649900;6250
149;Alento;Abru-C;CH;Francavilla al Mare;San Leonardo;Alento a San Leonardo;42.422229000000002;14.276776;0.70;IDRO;48581;48580;14220;188800;6290
150;Foro;Abru-C;CH;Vacri;C.da San Vincenzo;Foro a Ponte di Vacri;42.308539000000003;14.234370999999999;104.50;IDRO;53429;53427;19178;183400;6320
151;Foro;Abru-C;CH;Miglianico;C.da Savini;Foro a Molino Galasso;42.386826999999997;14.318360999999999;5.20;IDRO;;;14222;188900;6395
152;Feltrino;Abru-C;CH;San Vito Chietino;Ponte sul F. Feltrino;Feltrino a San Vito;42.296439999999997;14.439316;15.00;IDRO;;;14195;183500;6560
153;Sangro;Abru-D1;AQ;Opi;Casette asismiche;Sangro ad Opi;41.784832000000002;13.833669;1087.50;IDRO;;;43195;628400;6610
154;Sangro;Abru-D1;AQ;Villetta Barrea;SR83;Sangro a Villetta Barrea;41.777163999999999;13.919199000000001;986.10;IDRO;;;43196;628500;6620
155;Sangro;Abru-D1;AQ;Castel di Sangro;Ponte Zittola;Zittola a Montenero;41.751708999999998;14.093729;816.50;IDRO;53563;53564;43197;628600;6670
156;Sangro;Abru-D1;AQ;Ateleta;SS558;Sangro ad Ateleta;41.854323999999998;14.211221;714.40;IDRO;53561;53562;43198;628700;6690
157;Sangro;Abru-D1;CH;Villa Santa Maria;Madonna in Basilica;Sangro a Villa Santa Maria;41.954886000000002;14.356456;263.60;IDRO;53441;53440;15129;57700;6720
158;Sangro;Abru-D1;CH;Altino;Selva;Aventino a Selva di Altino;42.123404999999998;14.361025;99.00;IDRO;53559;53560;53558;743600;6780
159;Sangro;Abru-D2;CH;Paglieta;Piano del Mulino;Sangro a Paglieta;42.199475;14.504586;14.50;IDRO;53443;53442;14167;58400;6890
160;Osento;Abru-D2;CH;Torino di Sangro;San Tommaso;Osento a San Tommaso;42.203353;14.584289;10.50;IDRO;;;14224;189000;7020
161;Sinello;Abru-D2;CH;Carpineto Sinello;C.da Coccioleto;Sinello a Carpineto Sinello;42.017007999999997;14.497849;243.60;IDRO;;;48575;650000;7060
162;Sinello;Abru-D2;CH;Pollutri;Ponte sul F. Sinello;Sinello a Pollutri;42.137191999999999;14.643513;30.60;IDRO;57455;57467;21850;320900;7068
163;Marsica;Abru-E;AQ;Avezzano;Incile;Case Incile;41.993541;13.454376999999999;647.20;IDRO;48536;48537;38382;497100;7710
164;Aterno-Pescara;Abru-C;PE;Pescara;Porto Turistico;Pescara Porto;42.467139000000003;14.231778;1.00;MAREO;;14175;;57500;9010
165;Litoranea tra Salinello e Tordino;Abru-A;TE;Giulianova;Porto;Giulianova Porto;42.753511000000003;13.971304999999999;1.00;MAREO;;39747;;549600;9030
166;Litoranea tra Sinello e Trigno;Abru-D2;CH;Vasto;Porto;Vasto Porto;42.173782000000003;14.709225;1.00;MAREO;;39742;;549500;9040
